benchmark,policy,page_count,buffer_capacity,operations,seed,repetition,buffer_pool_initial_state,os_page_cache_state,device_cache_state,elapsed_us,mutation_us,flush_all_us,read_time_us,write_time_us,flush_time_us,fetch,hit,miss,hit_rate,eviction,dirty_flush,physical_read_attempts,free_frame_miss,clean_victim_selection,clean_replacement_commit,clean_replacement_cancel,dirty_victim_selection,dirty_requested_read,dirty_write_attempt,dirty_write_success,dirty_replacement_commit,dirty_replacement_cancel,physical_read_successes,physical_read_failures,physical_write_attempts,physical_write_successes,physical_write_failures,bytes_read,bytes_written,flush_count,read_logical_page_distance,write_logical_page_distance,sequential_read_count,sequential_write_count,read_operations,write_operations
sequential-read,fifo,1024,32,1024,6072051097480939855,1,empty,uncontrolled,uncontrolled,4417,4417,0,1924,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,2,empty,uncontrolled,uncontrolled,4790,4789,0,2164,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,3,empty,uncontrolled,uncontrolled,4491,4491,0,2002,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,4,empty,uncontrolled,uncontrolled,4633,4633,0,2083,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,5,empty,uncontrolled,uncontrolled,9802,9802,0,4431,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,6,empty,uncontrolled,uncontrolled,4635,4635,0,2083,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,7,empty,uncontrolled,uncontrolled,4482,4482,0,2000,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,8,empty,uncontrolled,uncontrolled,4638,4638,0,2063,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,9,empty,uncontrolled,uncontrolled,4784,4784,0,2291,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,10,empty,uncontrolled,uncontrolled,4500,4500,0,1984,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
