benchmark,policy,page_count,buffer_capacity,operations,seed,repetition,buffer_pool_initial_state,os_page_cache_state,device_cache_state,elapsed_us,mutation_us,flush_all_us,read_time_us,write_time_us,flush_time_us,fetch,hit,miss,hit_rate,eviction,dirty_flush,physical_read_attempts,physical_read_successes,physical_read_failures,physical_write_attempts,physical_write_successes,physical_write_failures,bytes_read,bytes_written,flush_count,read_logical_page_distance,write_logical_page_distance,sequential_read_count,sequential_write_count,read_operations,write_operations
random-read,fifo,1024,32,1024,20260914,1,empty,uncontrolled,uncontrolled,5198,5198,0,2459,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,2,empty,uncontrolled,uncontrolled,5708,5707,0,2654,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,3,empty,uncontrolled,uncontrolled,5256,5256,0,2537,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,4,empty,uncontrolled,uncontrolled,5307,5307,0,2539,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,5,empty,uncontrolled,uncontrolled,5448,5448,0,2553,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,6,empty,uncontrolled,uncontrolled,5371,5371,0,2547,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,7,empty,uncontrolled,uncontrolled,5370,5370,0,2578,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,8,empty,uncontrolled,uncontrolled,5440,5440,0,2587,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,9,empty,uncontrolled,uncontrolled,5756,5756,0,2708,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,10,empty,uncontrolled,uncontrolled,6256,6256,0,3342,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,11,empty,uncontrolled,uncontrolled,5400,5400,0,2611,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,12,empty,uncontrolled,uncontrolled,6446,6446,0,2968,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,13,empty,uncontrolled,uncontrolled,5302,5302,0,2542,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,14,empty,uncontrolled,uncontrolled,5147,5147,0,2472,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,15,empty,uncontrolled,uncontrolled,5346,5346,0,2559,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,16,empty,uncontrolled,uncontrolled,5459,5458,0,2660,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,17,empty,uncontrolled,uncontrolled,5726,5726,0,2986,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,18,empty,uncontrolled,uncontrolled,5205,5205,0,2502,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,19,empty,uncontrolled,uncontrolled,5528,5528,0,2658,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
random-read,fifo,1024,32,1024,20260914,20,empty,uncontrolled,uncontrolled,5257,5257,0,2564,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,348275,0,1,0,1024,0
