benchmark,policy,page_count,buffer_capacity,operations,seed,repetition,buffer_pool_initial_state,os_page_cache_state,device_cache_state,elapsed_us,mutation_us,flush_all_us,read_time_us,write_time_us,flush_time_us,fetch,hit,miss,hit_rate,eviction,dirty_flush,physical_read_attempts,physical_read_successes,physical_read_failures,physical_write_attempts,physical_write_successes,physical_write_failures,bytes_read,bytes_written,flush_count,read_logical_page_distance,write_logical_page_distance,sequential_read_count,sequential_write_count,read_operations,write_operations
sequential-read,fifo,1024,32,1024,20260914,1,empty,uncontrolled,uncontrolled,8696,8696,0,2390,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,2,empty,uncontrolled,uncontrolled,7591,7591,0,3446,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,3,empty,uncontrolled,uncontrolled,4817,4817,0,2096,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,4,empty,uncontrolled,uncontrolled,4594,4594,0,2063,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,5,empty,uncontrolled,uncontrolled,4558,4558,0,2068,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,6,empty,uncontrolled,uncontrolled,4653,4653,0,2036,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,7,empty,uncontrolled,uncontrolled,4706,4706,0,2001,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,8,empty,uncontrolled,uncontrolled,5025,5025,0,2319,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,9,empty,uncontrolled,uncontrolled,4939,4939,0,2202,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,10,empty,uncontrolled,uncontrolled,4768,4768,0,2119,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,11,empty,uncontrolled,uncontrolled,4493,4493,0,1983,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,12,empty,uncontrolled,uncontrolled,5278,5278,0,2262,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,13,empty,uncontrolled,uncontrolled,4486,4486,0,2004,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,14,empty,uncontrolled,uncontrolled,4817,4817,0,2118,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,15,empty,uncontrolled,uncontrolled,4722,4722,0,2146,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,16,empty,uncontrolled,uncontrolled,4724,4724,0,2076,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,17,empty,uncontrolled,uncontrolled,4599,4599,0,1950,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,18,empty,uncontrolled,uncontrolled,4787,4787,0,2158,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,19,empty,uncontrolled,uncontrolled,4761,4761,0,2173,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,20260914,20,empty,uncontrolled,uncontrolled,4588,4588,0,2063,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
