benchmark,policy,page_count,buffer_capacity,operations,seed,repetition,buffer_pool_initial_state,os_page_cache_state,device_cache_state,elapsed_us,mutation_us,flush_all_us,read_time_us,write_time_us,flush_time_us,fetch,hit,miss,hit_rate,eviction,dirty_flush,physical_read_attempts,physical_read_successes,physical_read_failures,physical_write_attempts,physical_write_successes,physical_write_failures,bytes_read,bytes_written,flush_count,read_logical_page_distance,write_logical_page_distance,sequential_read_count,sequential_write_count,read_operations,write_operations
sequential-read,fifo,128,32,128,6072051097480939855,1,empty,uncontrolled,uncontrolled,341,341,0,166,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,fifo,128,32,128,6072051097480939855,2,empty,uncontrolled,uncontrolled,334,334,0,162,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,fifo,128,32,128,6072051097480939855,3,empty,uncontrolled,uncontrolled,352,352,0,162,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,fifo,128,32,128,6072051097480939855,4,empty,uncontrolled,uncontrolled,337,337,0,165,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,fifo,128,32,128,6072051097480939855,5,empty,uncontrolled,uncontrolled,315,315,0,153,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,fifo,1024,32,1024,6072051097480939855,1,empty,uncontrolled,uncontrolled,3451,3451,0,1966,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,2,empty,uncontrolled,uncontrolled,3411,3411,0,1907,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,3,empty,uncontrolled,uncontrolled,3609,3609,0,2024,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,4,empty,uncontrolled,uncontrolled,3574,3574,0,2033,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,5,empty,uncontrolled,uncontrolled,4034,4034,0,2251,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,4096,32,4096,6072051097480939855,1,empty,uncontrolled,uncontrolled,15483,15483,0,8629,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,fifo,4096,32,4096,6072051097480939855,2,empty,uncontrolled,uncontrolled,15546,15546,0,8967,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,fifo,4096,32,4096,6072051097480939855,3,empty,uncontrolled,uncontrolled,16573,16573,0,9562,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,fifo,4096,32,4096,6072051097480939855,4,empty,uncontrolled,uncontrolled,17289,17289,0,9751,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,fifo,4096,32,4096,6072051097480939855,5,empty,uncontrolled,uncontrolled,15669,15669,0,8849,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,lru,128,32,128,6072051097480939855,1,empty,uncontrolled,uncontrolled,353,353,0,174,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,lru,128,32,128,6072051097480939855,2,empty,uncontrolled,uncontrolled,372,372,0,189,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,lru,128,32,128,6072051097480939855,3,empty,uncontrolled,uncontrolled,425,425,0,235,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,lru,128,32,128,6072051097480939855,4,empty,uncontrolled,uncontrolled,374,374,0,184,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,lru,128,32,128,6072051097480939855,5,empty,uncontrolled,uncontrolled,358,358,0,176,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,lru,1024,32,1024,6072051097480939855,1,empty,uncontrolled,uncontrolled,3896,3896,0,2273,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,lru,1024,32,1024,6072051097480939855,2,empty,uncontrolled,uncontrolled,3948,3948,0,2222,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,lru,1024,32,1024,6072051097480939855,3,empty,uncontrolled,uncontrolled,3802,3802,0,2154,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,lru,1024,32,1024,6072051097480939855,4,empty,uncontrolled,uncontrolled,3958,3958,0,2255,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,lru,1024,32,1024,6072051097480939855,5,empty,uncontrolled,uncontrolled,3885,3885,0,2203,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,lru,4096,32,4096,6072051097480939855,1,empty,uncontrolled,uncontrolled,16382,16382,0,9136,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,lru,4096,32,4096,6072051097480939855,2,empty,uncontrolled,uncontrolled,15499,15499,0,8783,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,lru,4096,32,4096,6072051097480939855,3,empty,uncontrolled,uncontrolled,15475,15475,0,8911,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,lru,4096,32,4096,6072051097480939855,4,empty,uncontrolled,uncontrolled,14268,14268,0,8159,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,lru,4096,32,4096,6072051097480939855,5,empty,uncontrolled,uncontrolled,15179,15179,0,8321,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
random-read,fifo,128,32,128,6072051097480939855,1,empty,uncontrolled,uncontrolled,366,366,0,175,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5732,0,2,0,128,0
random-read,fifo,128,32,128,6072051097480939855,2,empty,uncontrolled,uncontrolled,463,463,0,203,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5732,0,2,0,128,0
random-read,fifo,128,32,128,6072051097480939855,3,empty,uncontrolled,uncontrolled,348,348,0,163,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5732,0,2,0,128,0
random-read,fifo,128,32,128,6072051097480939855,4,empty,uncontrolled,uncontrolled,360,360,0,172,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5732,0,2,0,128,0
random-read,fifo,128,32,128,6072051097480939855,5,empty,uncontrolled,uncontrolled,378,378,0,177,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5732,0,2,0,128,0
random-read,fifo,1024,32,1024,6072051097480939855,1,empty,uncontrolled,uncontrolled,4137,4137,0,2394,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,2,empty,uncontrolled,uncontrolled,4164,4164,0,2441,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,3,empty,uncontrolled,uncontrolled,4565,4565,0,2489,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,4,empty,uncontrolled,uncontrolled,4541,4541,0,2688,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,5,empty,uncontrolled,uncontrolled,4350,4350,0,2595,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,4096,32,4096,6072051097480939855,1,empty,uncontrolled,uncontrolled,19538,19538,0,12145,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,5658499,0,2,0,4096,0
random-read,fifo,4096,32,4096,6072051097480939855,2,empty,uncontrolled,uncontrolled,19808,19808,0,11905,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,5658499,0,2,0,4096,0
random-read,fifo,4096,32,4096,6072051097480939855,3,empty,uncontrolled,uncontrolled,21205,21205,0,13501,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,5658499,0,2,0,4096,0
random-read,fifo,4096,32,4096,6072051097480939855,4,empty,uncontrolled,uncontrolled,20861,20861,0,12948,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,5658499,0,2,0,4096,0
random-read,fifo,4096,32,4096,6072051097480939855,5,empty,uncontrolled,uncontrolled,19400,19400,0,12130,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,5658499,0,2,0,4096,0
random-read,lru,128,32,128,6072051097480939855,1,empty,uncontrolled,uncontrolled,402,402,0,183,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5732,0,2,0,128,0
random-read,lru,128,32,128,6072051097480939855,2,empty,uncontrolled,uncontrolled,349,349,0,170,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5732,0,2,0,128,0
random-read,lru,128,32,128,6072051097480939855,3,empty,uncontrolled,uncontrolled,332,332,0,158,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5732,0,2,0,128,0
random-read,lru,128,32,128,6072051097480939855,4,empty,uncontrolled,uncontrolled,342,342,0,162,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5732,0,2,0,128,0
random-read,lru,128,32,128,6072051097480939855,5,empty,uncontrolled,uncontrolled,358,358,0,168,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5732,0,2,0,128,0
random-read,lru,1024,32,1024,6072051097480939855,1,empty,uncontrolled,uncontrolled,4494,4494,0,2638,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,lru,1024,32,1024,6072051097480939855,2,empty,uncontrolled,uncontrolled,4100,4100,0,2403,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,lru,1024,32,1024,6072051097480939855,3,empty,uncontrolled,uncontrolled,4011,4011,0,2362,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,lru,1024,32,1024,6072051097480939855,4,empty,uncontrolled,uncontrolled,4873,4873,0,2982,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,lru,1024,32,1024,6072051097480939855,5,empty,uncontrolled,uncontrolled,4329,4329,0,2557,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,lru,4096,32,4096,6072051097480939855,1,empty,uncontrolled,uncontrolled,19452,19452,0,12106,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,5658499,0,2,0,4096,0
random-read,lru,4096,32,4096,6072051097480939855,2,empty,uncontrolled,uncontrolled,18733,18733,0,11645,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,5658499,0,2,0,4096,0
random-read,lru,4096,32,4096,6072051097480939855,3,empty,uncontrolled,uncontrolled,18603,18603,0,11346,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,5658499,0,2,0,4096,0
