benchmark,policy,page_count,buffer_capacity,operations,seed,repetition,buffer_pool_initial_state,os_page_cache_state,device_cache_state,elapsed_us,mutation_us,flush_all_us,read_time_us,write_time_us,flush_time_us,fetch,hit,miss,hit_rate,eviction,dirty_flush,physical_read_attempts,physical_read_successes,physical_read_failures,physical_write_attempts,physical_write_successes,physical_write_failures,bytes_read,bytes_written,flush_count,read_logical_page_distance,write_logical_page_distance,sequential_read_count,sequential_write_count,read_operations,write_operations
sequential-read,fifo,128,32,128,6072051097480939855,1,empty,uncontrolled,uncontrolled,1088,1088,0,230,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,fifo,128,32,128,6072051097480939855,2,empty,uncontrolled,uncontrolled,973,973,0,170,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,fifo,128,32,128,6072051097480939855,3,empty,uncontrolled,uncontrolled,985,985,0,178,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,fifo,128,32,128,6072051097480939855,4,empty,uncontrolled,uncontrolled,985,985,0,183,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,fifo,128,32,128,6072051097480939855,5,empty,uncontrolled,uncontrolled,969,969,0,174,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,lru,128,32,128,6072051097480939855,1,empty,uncontrolled,uncontrolled,1055,1055,0,189,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,lru,128,32,128,6072051097480939855,2,empty,uncontrolled,uncontrolled,980,980,0,178,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,lru,128,32,128,6072051097480939855,3,empty,uncontrolled,uncontrolled,983,983,0,178,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,lru,128,32,128,6072051097480939855,4,empty,uncontrolled,uncontrolled,1057,1057,0,191,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,lru,128,32,128,6072051097480939855,5,empty,uncontrolled,uncontrolled,1031,1031,0,185,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,fifo,1024,32,1024,6072051097480939855,1,empty,uncontrolled,uncontrolled,9143,9143,0,2482,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
