benchmark,policy,page_count,buffer_capacity,operations,seed,repetition,buffer_pool_initial_state,os_page_cache_state,device_cache_state,elapsed_us,mutation_us,flush_all_us,read_time_us,write_time_us,flush_time_us,fetch,hit,miss,hit_rate,eviction,dirty_flush,physical_read_attempts,physical_read_successes,physical_read_failures,physical_write_attempts,physical_write_successes,physical_write_failures,bytes_read,bytes_written,flush_count,read_logical_page_distance,write_logical_page_distance,sequential_read_count,sequential_write_count,read_operations,write_operations
sequential-read,fifo,128,32,128,6072051097480939855,1,empty,uncontrolled,uncontrolled,999,999,0,175,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,fifo,128,32,128,6072051097480939855,2,empty,uncontrolled,uncontrolled,1004,1004,0,220,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,fifo,128,32,128,6072051097480939855,3,empty,uncontrolled,uncontrolled,990,990,0,173,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,fifo,128,32,128,6072051097480939855,4,empty,uncontrolled,uncontrolled,973,972,0,204,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,fifo,128,32,128,6072051097480939855,5,empty,uncontrolled,uncontrolled,1006,1006,0,179,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,lru,128,32,128,6072051097480939855,1,empty,uncontrolled,uncontrolled,1003,1003,0,187,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,lru,128,32,128,6072051097480939855,2,empty,uncontrolled,uncontrolled,983,983,0,180,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,lru,128,32,128,6072051097480939855,3,empty,uncontrolled,uncontrolled,961,961,0,168,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,lru,128,32,128,6072051097480939855,4,empty,uncontrolled,uncontrolled,1135,1135,0,271,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,lru,128,32,128,6072051097480939855,5,empty,uncontrolled,uncontrolled,905,905,0,160,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,127,0,127,0,128,0
sequential-read,fifo,1024,32,1024,6072051097480939855,1,empty,uncontrolled,uncontrolled,8418,8418,0,2087,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,2,empty,uncontrolled,uncontrolled,8711,8711,0,2193,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,3,empty,uncontrolled,uncontrolled,8503,8503,0,2096,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,4,empty,uncontrolled,uncontrolled,8785,8785,0,2430,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,5,empty,uncontrolled,uncontrolled,8548,8548,0,2086,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,lru,1024,32,1024,6072051097480939855,1,empty,uncontrolled,uncontrolled,8751,8751,0,2229,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,lru,1024,32,1024,6072051097480939855,2,empty,uncontrolled,uncontrolled,8841,8841,0,2279,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,lru,1024,32,1024,6072051097480939855,3,empty,uncontrolled,uncontrolled,8761,8761,0,2265,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,lru,1024,32,1024,6072051097480939855,4,empty,uncontrolled,uncontrolled,8620,8620,0,2164,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,lru,1024,32,1024,6072051097480939855,5,empty,uncontrolled,uncontrolled,8652,8651,0,2151,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,4096,32,4096,6072051097480939855,1,empty,uncontrolled,uncontrolled,34060,34060,0,8865,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,fifo,4096,32,4096,6072051097480939855,2,empty,uncontrolled,uncontrolled,35793,35793,0,9198,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,fifo,4096,32,4096,6072051097480939855,3,empty,uncontrolled,uncontrolled,35432,35432,0,9119,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,fifo,4096,32,4096,6072051097480939855,4,empty,uncontrolled,uncontrolled,34886,34886,0,8787,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,fifo,4096,32,4096,6072051097480939855,5,empty,uncontrolled,uncontrolled,35518,35518,0,8972,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,lru,4096,32,4096,6072051097480939855,1,empty,uncontrolled,uncontrolled,35931,35931,0,9215,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,lru,4096,32,4096,6072051097480939855,2,empty,uncontrolled,uncontrolled,35209,35208,0,8963,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,lru,4096,32,4096,6072051097480939855,3,empty,uncontrolled,uncontrolled,35566,35566,0,8821,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,lru,4096,32,4096,6072051097480939855,4,empty,uncontrolled,uncontrolled,35141,35141,0,8441,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
sequential-read,lru,4096,32,4096,6072051097480939855,5,empty,uncontrolled,uncontrolled,33898,33898,0,8352,0,0,4096,0,4096,0,4064,0,4096,4096,0,0,0,0,16777216,0,0,4095,0,4095,0,4096,0
random-read,fifo,128,32,128,6072051097480939855,1,empty,uncontrolled,uncontrolled,1003,1003,0,184,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5732,0,2,0,128,0
random-read,fifo,128,32,128,6072051097480939855,2,empty,uncontrolled,uncontrolled,1205,1205,0,200,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5313,0,0,0,128,0
random-read,fifo,128,32,128,6072051097480939855,3,empty,uncontrolled,uncontrolled,932,932,0,164,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5575,0,4,0,128,0
random-read,fifo,128,32,128,6072051097480939855,4,empty,uncontrolled,uncontrolled,985,985,0,191,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5111,0,1,0,128,0
random-read,fifo,128,32,128,6072051097480939855,5,empty,uncontrolled,uncontrolled,895,895,0,153,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5564,0,0,0,128,0
random-read,lru,128,32,128,6072051097480939855,1,empty,uncontrolled,uncontrolled,1028,1028,0,184,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5732,0,2,0,128,0
random-read,lru,128,32,128,6072051097480939855,2,empty,uncontrolled,uncontrolled,1100,1100,0,202,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5313,0,0,0,128,0
random-read,lru,128,32,128,6072051097480939855,3,empty,uncontrolled,uncontrolled,1133,1133,0,274,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5575,0,4,0,128,0
random-read,lru,128,32,128,6072051097480939855,4,empty,uncontrolled,uncontrolled,1068,1068,0,219,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5111,0,1,0,128,0
random-read,lru,128,32,128,6072051097480939855,5,empty,uncontrolled,uncontrolled,942,942,0,163,0,0,128,0,128,0,96,0,128,128,0,0,0,0,524288,0,0,5564,0,0,0,128,0
