workload,strategy,pages,capacity,seed,repetition,buffer_pool_initial_state,os_page_cache_state,device_cache_state,dirty_pages,evictions,ordering_time_us,flush_io_time_us,total_scheduled_flush_time_us,physical_writes,physical_write_successes,physical_write_failures,bytes_written,flush_count,write_logical_page_distance,sequential_write_count,verification
dirty-batch-flush,current,32,32,6072051097480939855,1,empty,uncontrolled,uncontrolled,32,0,1,60,61,32,32,0,131072,32,330,6,pass
dirty-batch-flush,current,32,32,6072051097480939855,2,empty,uncontrolled,uncontrolled,32,0,1,60,61,32,32,0,131072,32,330,6,pass
dirty-batch-flush,current,32,32,6072051097480939855,3,empty,uncontrolled,uncontrolled,32,0,1,59,60,32,32,0,131072,32,330,6,pass
dirty-batch-flush,current,32,32,6072051097480939855,4,empty,uncontrolled,uncontrolled,32,0,2,60,62,32,32,0,131072,32,330,6,pass
dirty-batch-flush,current,32,32,6072051097480939855,5,empty,uncontrolled,uncontrolled,32,0,1,56,57,32,32,0,131072,32,330,6,pass
dirty-batch-flush,ascending-page-id,32,32,6072051097480939855,1,empty,uncontrolled,uncontrolled,32,0,5,60,65,32,32,0,131072,32,62,31,pass
dirty-batch-flush,ascending-page-id,32,32,6072051097480939855,2,empty,uncontrolled,uncontrolled,32,0,2,56,58,32,32,0,131072,32,62,31,pass
dirty-batch-flush,ascending-page-id,32,32,6072051097480939855,3,empty,uncontrolled,uncontrolled,32,0,3,65,68,32,32,0,131072,32,62,31,pass
dirty-batch-flush,ascending-page-id,32,32,6072051097480939855,4,empty,uncontrolled,uncontrolled,32,0,3,60,63,32,32,0,131072,32,62,31,pass
dirty-batch-flush,ascending-page-id,32,32,6072051097480939855,5,empty,uncontrolled,uncontrolled,32,0,3,60,63,32,32,0,131072,32,62,31,pass
dirty-batch-flush,current,128,128,6072051097480939855,1,empty,uncontrolled,uncontrolled,128,0,3,252,255,128,128,0,524288,128,5750,2,pass
dirty-batch-flush,current,128,128,6072051097480939855,2,empty,uncontrolled,uncontrolled,128,0,3,245,248,128,128,0,524288,128,5750,2,pass
dirty-batch-flush,current,128,128,6072051097480939855,3,empty,uncontrolled,uncontrolled,128,0,3,247,250,128,128,0,524288,128,5750,2,pass
dirty-batch-flush,current,128,128,6072051097480939855,4,empty,uncontrolled,uncontrolled,128,0,3,248,251,128,128,0,524288,128,5750,2,pass
dirty-batch-flush,current,128,128,6072051097480939855,5,empty,uncontrolled,uncontrolled,128,0,3,239,242,128,128,0,524288,128,5750,2,pass
dirty-batch-flush,ascending-page-id,128,128,6072051097480939855,1,empty,uncontrolled,uncontrolled,128,0,12,235,247,128,128,0,524288,128,254,127,pass
dirty-batch-flush,ascending-page-id,128,128,6072051097480939855,2,empty,uncontrolled,uncontrolled,128,0,9,290,299,128,128,0,524288,128,254,127,pass
dirty-batch-flush,ascending-page-id,128,128,6072051097480939855,3,empty,uncontrolled,uncontrolled,128,0,9,240,249,128,128,0,524288,128,254,127,pass
dirty-batch-flush,ascending-page-id,128,128,6072051097480939855,4,empty,uncontrolled,uncontrolled,128,0,9,244,253,128,128,0,524288,128,254,127,pass
dirty-batch-flush,ascending-page-id,128,128,6072051097480939855,5,empty,uncontrolled,uncontrolled,128,0,9,240,249,128,128,0,524288,128,254,127,pass
dirty-batch-flush,current,512,512,6072051097480939855,1,empty,uncontrolled,uncontrolled,512,0,12,1350,1362,512,512,0,2097152,512,86929,2,pass
dirty-batch-flush,current,512,512,6072051097480939855,2,empty,uncontrolled,uncontrolled,512,0,10,1634,1644,512,512,0,2097152,512,86929,2,pass
dirty-batch-flush,current,512,512,6072051097480939855,3,empty,uncontrolled,uncontrolled,512,0,9,1207,1216,512,512,0,2097152,512,86929,2,pass
dirty-batch-flush,current,512,512,6072051097480939855,4,empty,uncontrolled,uncontrolled,512,0,16,1252,1268,512,512,0,2097152,512,86929,2,pass
dirty-batch-flush,current,512,512,6072051097480939855,5,empty,uncontrolled,uncontrolled,512,0,11,1339,1350,512,512,0,2097152,512,86929,2,pass
